source_column,final_column,mapping_type,rule_summary,special_cases,years_affected
Timestamp,date,date_parse,Parse raw Timestamp and output DD/MM/YYYY,Supports multiple timestamp formats,2019;2020;2022;2024;2025
1. Postcode,postcode,rename_and_cast,Convert postcode to integer,Blank stays blank,2019;2020;2022;2024;2025
2. Age range,age_range,rename_and_standardize,Keep source value and standardize spacing/hyphen style,Expected ordered age bands only,2019;2020;2022;2024;2025
3. Gender,gender,rename_only,Keep raw text after trimming spaces,Blank stays blank,2019;2020;2022;2024;2025
4. Language,language,scale_numeric,Keep 0-100 values; multiply 0-10 by 10 in 2024/2025,Blank stays blank,2019;2020;2022;2024;2025
5. Belonging,belonging,scale_numeric,Keep 0-100 values; multiply 0-10 by 10 in 2024/2025,Blank stays blank,2019;2020;2022;2024;2025
6. Cultural activities,cultural_activities,text_or_numeric,"No->0; Once or twice->30; Many times->50; numeric values kept",Later-year text categories mapped,2019;2020;2022;2024;2025
7. Te Reo,te_reo,text_or_numeric,"Very poorly/Very poorly, if at all->0; Moderate/Moderate ability->50; Very well->80; Fluent speaker->90; numeric values kept",Supports alternate spellings in text labels,2019;2020;2022;2024;2025
8. Cultural knowledge,cultural_knowledge,text_or_numeric,"None->0; Once or twice->30; Many times->50; numeric values kept",Later-year text categories mapped,2019;2020;2022;2024;2025
9. Trust NZ government,trust_nz_government,scale_numeric,Keep 0-100 values; multiply 0-10 by 10 in 2024/2025,Blank stays blank,2019;2020;2022;2024;2025
10. Trust local council,trust_local_council,scale_numeric,Keep 0-100 values; multiply 0-10 by 10 in 2024/2025,Blank stays blank,2019;2020;2022;2024;2025
11. Trust NZ Police,trust_nz_police,scale_numeric,Keep 0-100 values; multiply 0-10 by 10 in 2024/2025,Blank stays blank,2019;2020;2022;2024;2025
12. Safety,safety,scale_numeric,Keep 0-100 values; multiply 0-10 by 10 in 2024/2025,Blank stays blank,2019;2020;2022;2024;2025
13. Discrimination,discrimination,text_or_numeric,"None->0; Once or twice->30; Many times->50; numeric values kept",Direction intentionally not reversed,2019;2020;2022;2024;2025
14. Loneliness,loneliness,text_or_numeric,"Not once->0; Occasionally->50; Frequently->80; Very frequently->90; numeric values kept",Direction intentionally not reversed,2019;2020;2022;2024;2025
15. Independence,independence,scale_numeric,Keep 0-100 values; multiply 0-10 by 10 in 2024/2025,Blank stays blank,2019;2020;2022;2024;2025
16. Support in crisis,support_in_crisis,scale_numeric,Keep 0-100 values; multiply 0-10 by 10 in 2024/2025,Blank stays blank,2019;2020;2022;2024;2025
17. Level of control,level_of_control,scale_numeric,Keep 0-100 values; multiply 0-10 by 10 in 2024/2025,Blank stays blank,2019;2020;2022;2024;2025
18. Volunteering time,volunteering_time,text_or_numeric,"Not at all->0; Occasionally->50; Frequently->80; Very frequently->90; numeric values kept",Later-year text categories mapped,2019;2020;2022;2024;2025
19. Paid working hours,paid_working_hours,interval_to_representative,"Numeric values kept; category mapping such as 1 to 20->20, 21-30->25, 31-40->35, 41-50->45, 51-60->55",Special cases include Jan-20->20 and >60 capped at 60,2019;2020;2022;2024;2025
20. Job Satisfaction,job_satisfaction,scale_numeric,Keep 0-100 values; multiply 0-10 by 10 in 2024/2025,Blank stays blank,2019;2020;2022;2024;2025
